term,estimate,std.error,statistic,df,p.value,variable,LCI,UCI,exposure
steps1000_mean,0.810193565130255,0.4754181307507116,1.7041705242728424,99.75614673992578,0.09146224225570121,TC,-0.12162597114113971,1.7420131014016498,Physical Activity
mvpa_recommended,-5.0261956196918565,3.472405918977447,-1.4474677606735473,151.33236382393935,0.14983437215069606,TC,-11.832111220887654,1.7797199815039404,Physical Activity
steps1000_mean,-2.649088582017019,1.4206844194885786,-1.8646566019008248,43.286651042228634,0.06901883793457286,TG,-5.433630044214633,0.13545288018059498,Physical Activity
mvpa_recommended,0.3983180601963245,9.772739172513587,0.04075807746067938,80.39633906261032,0.9675898095847706,TG,-18.756250717930307,19.552886838322955,Physical Activity
steps1000_mean,0.40157591533580933,0.1086402391612554,3.696382836011136,91.70506357126824,3.7197762565188697e-4,HDLc,0.18864104657974876,0.6145107840918699,Physical Activity
mvpa_recommended,-1.224241529116552,0.791744955772345,-1.546257440847612,138.89518189649462,0.12431786471299233,HDLc,-2.7760616424303484,0.3275785841972443,Physical Activity
steps1000_mean,1.017723430309039,0.4594184701739295,2.2152427392040703,54.29216662673202,0.03095803728883939,LDLc,0.11726322876813722,1.9181836318499408,Physical Activity
mvpa_recommended,-1.9759431984855662,3.1611121988007653,-0.6250784768839214,117.411336522828,0.5331325211571887,LDLc,-8.171723108135065,4.219836711163934,Physical Activity
steps1000_mean,1.1140843809111047,0.31377749996871396,3.550555349004271,116.20937562862883,5.56098648786918e-4,ApoA1,0.4990804809724254,1.729088280849784,Physical Activity
mvpa_recommended,-5.209564535939323,2.393243321994472,-2.1767801410170846,111.9826207037063,0.03159642829043552,ApoA1,-9.900321447048487,-0.5188076248301572,Physical Activity
steps1000_mean,0.7839175919698251,0.3152190261119331,2.48689808365647,292.49166177702944,0.0134438301742823,ApoB,0.16608830079043635,1.401746883149214,Physical Activity
mvpa_recommended,-6.1947162283867465,2.4078089993226017,-2.5727606426130687,268.85859164036,0.010626052500604555,ApoB,-10.914021867059045,-1.4754105897144472,Physical Activity
steps1000_mean,-0.009751082180047917,0.04257327252513204,-0.22904234515426589,76.00450413698043,0.8194512044074851,hsCRP,-0.0931946963293067,0.07369253196921087,Physical Activity
mvpa_recommended,-0.21326349827864313,0.3065915204839351,-0.6955949008048896,123.0785477130124,0.4879938801584891,hsCRP,-0.814182878427156,0.38765588186986977,Physical Activity
steps1000_mean,-0.23325009956215587,0.11123461397792794,-2.096920115247932,100.80572679732687,0.03850310064147622,Insulin,-0.45126994295889467,-0.015230256165417094,Physical Activity
mvpa_recommended,0.5052782705438346,0.7614609863021439,0.6635642267079231,416.0811760137842,0.5073367440179679,Insulin,-0.9871852626083675,1.9977418036960366,Physical Activity
steps1000_mean,-0.6749221267120619,0.29296302369082633,-2.303779221722977,81.47216305652341,0.02378291353617401,Glucose,-1.2491296531460816,-0.10071460027804224,Physical Activity
mvpa_recommended,1.795688613380947,2.298929956487046,0.781097574684227,64.42160970745022,0.4376061462778118,Glucose,-2.710214101333663,6.301591328095557,Physical Activity
steps1000_mean,0.010586448046347638,0.005800235024616496,1.82517570433236,118.49393696603582,0.07049322857519402,NEFA,-7.820126019006945e-4,0.02195490869459597,Physical Activity
mvpa_recommended,-0.059126844499948886,0.0392420267539167,-1.5067224960302925,734.8911524035422,0.13231151761976268,NEFA,-0.1360412169376256,0.017787527937727837,Physical Activity
steps1000_mean,-5.555414370521076,3.283526144424399,-1.6919050210562396,77.72281334148522,0.09466990613901416,IL10,-11.991125613592898,0.8802968725507458,Physical Activity
mvpa_recommended,5.567828605159823,24.23817435701835,0.22971320047244462,99.18596589010376,0.8187876944697963,IL10,-41.938993134596146,53.074650344915796,Physical Activity
steps1000_mean,152.14427096528934,98.81530310758298,1.5396832897395014,184.19485364326795,0.1253537093860848,Adiponectin,-41.53372312557329,345.822265056152,Physical Activity
mvpa_recommended,388.74468371905226,755.5619731882658,0.5145106523541088,170.25631068978328,0.6075622524508015,Adiponectin,-1092.1567837299488,1869.6461511680534,Physical Activity
steps1000_mean,1.7412808996669065,98.85218691208702,0.017614996228818826,57.592622054598856,0.9860068766749246,Leptin,-192.00900544802363,195.49156724735747,Physical Activity
mvpa_recommended,341.300116161229,704.570328475312,0.48440886930308497,92.19659682442465,0.6292445190358322,Leptin,-1039.6577276503824,1722.2579599728404,Physical Activity
steps1000_mean,-9.240609005886485,26.035472724215758,-0.35492380352639946,24.049386211448624,0.7257403591984553,TNFsR,-60.27013554534937,41.7889175335764,Physical Activity
mvpa_recommended,-15.860098063853501,155.15834435268243,-0.10221878900565431,69.72430762722622,0.9188764232955482,TNFsR,-319.9704529951111,288.25025686740406,Physical Activity
steps1000_mean,21.60489093079671,43.24074573797914,0.49964195950072937,63.87422491186492,0.6190440232925574,Resistin,-63.1469707156424,106.35675257723582,Physical Activity
mvpa_recommended,113.2975771936255,324.7455847272367,0.3488810395645177,69.18975037090613,0.7282380950245022,Resistin,-523.2037688717585,749.7989232590094,Physical Activity
steps1000_mean,-0.013833402896663705,0.013874228045703638,-0.9970574832051593,35.151340462452325,0.3255510588387702,fast.PC1,-0.04102688986624283,0.013360084072915423,Physical Activity
mvpa_recommended,0.14275954104735586,0.0921601313148173,1.549037951776478,73.3013155989791,0.12567957277273534,fast.PC1,-0.03787431632968605,0.32339339842439774,Physical Activity
steps1000_mean,-0.042436570558952204,0.01462419811815982,-2.9018049547794313,145.95318716138485,0.004285599459693312,fast.PC2,-0.07109999887054545,-0.013773142247358958,Physical Activity
